provider_id,provider_type
19540,Generic
19452,Generic
5791,Generic
99020,Generic
101843,Generic
49232,Generic
62142,Generic
87909,Generic
78860,Generic
76168,Generic
91675,Generic
118323,Generic
44186,Generic
49860,Generic
97451,Generic
93743,Generic
85535,Generic
92679,Generic
98191,Generic
92100,Generic
8142,Generic
91728,Generic
34187,Generic
114101,Generic
105644,Generic
51008,Generic
110711,Generic
98100,Generic
109099,Generic
118340,Generic
113862,Generic
41769,Generic
19486,Generic
30789,Generic
106193,Generic
69222,Generic
29142,Generic
41807,Generic
93605,Generic
117941,Generic
97369,Generic
63177,Generic
82715,Generic
5587,Generic
61888,Generic
59801,Generic
46226,Generic
35482,Generic
40008,Generic
71786,Generic
10206,Generic
54056,Generic
71138,Generic
69981,Generic
108703,Generic
55194,Generic
20749,Generic
78018,Generic
108424,Generic
59838,Generic
81679,Generic
85415,Generic
25618,Generic
101844,Niche
91709,Generic
92740,Generic
124243,Generic
16866,Generic
10777,Generic
10312,Generic
10928,Generic
66660,Generic
59729,Generic
22285,Generic
77645,Generic
73745,Generic
67090,Generic
66096,Generic
19770,Generic
124633,Generic
12060,Generic
83564,Generic
80504,Generic
21742,Generic
34559,Generic
109546,Generic
85847,Generic
71076,Generic
25433,Generic
85556,Generic
114618,Generic
30838,Generic
72740,Generic
34627,Generic
52370,Generic
109379,Generic
102741,Generic
97331,Generic
17345,Generic
71046,Generic
102744,Generic
118375,Generic
89346,Generic
115868,Generic
14460,Generic
8881,Generic
64015,Generic
51165,Generic
86394,Generic
56429,Generic
52409,Niche
10471,Generic
42029,Generic
46403,Generic
95793,Generic
19788,Generic
76195,Generic
91221,Generic
110930,Generic
10464,Generic
111696,Generic
10074,Generic
110178,Generic
24248,Generic
22865,Generic
21277,Generic
21134,Generic
3955,Generic
91986,Generic
40437,Generic
31068,Generic
29101,Generic
93135,Generic
55291,Generic
83414,Generic
107415,Generic
46584,Generic
64836,Generic
49314,Generic
45125,Generic
122617,Generic
51865,Generic
48677,Generic
124378,Generic
3140,Generic
27821,Generic
57051,Generic
14280,Generic
83211,Generic
44371,Generic
118584,Generic
33869,Generic
113666,Generic
109412,Generic
63189,Generic
116538,Generic
10945,Generic
83643,Generic
9675,Generic
13910,Generic
37798,Generic
34812,Generic
16700,Generic
50572,Generic
81890,Generic
120065,Generic
77374,Generic
97985,Niche
75696,Generic
2739,Generic
109251,Generic
73632,Generic
35258,Generic
120047,Generic
42168,Generic
23826,Generic
114636,Generic
1969,Generic
76281,Generic
41939,Generic
54482,Generic
66792,Generic
29151,Generic
55474,Generic
48036,Generic
26972,Generic
33217,Generic
102743,Generic
76776,Niche
101954,Generic
51823,Generic
45571,Generic
9360,Generic
112249,Generic
19405,Generic
86775,Generic
49307,Generic
18953,Generic
59366,Generic
17434,Generic
46803,Generic
99973,Generic
115590,Niche
27876,Niche
122307,Niche
2047,Niche
121036,Generic
103240,Niche
117341,Niche
112785,Generic
35518,Generic
46629,Generic
103069,Generic
97319,Generic
121957,Generic
66813,Generic
84018,Generic
110801,Generic
99287,Generic
80800,Generic
30801,Generic
112321,Generic
91233,Generic
98909,Generic
20408,Generic
10205,Generic
78616,Generic
81780,Generic
93459,Generic
101600,Generic
81923,Generic
30180,Generic
86301,Generic
56037,Generic
16547,Generic
84264,Generic
54915,Generic
102691,Generic
75041,Generic
12712,Generic
35886,Generic
29099,Generic
76738,Generic
102573,Generic
19471,Generic
16587,Generic
95648,Generic
66869,Generic
100125,Generic
103975,Generic
10196,Generic
117151,Generic
21853,Generic
48334,Generic
48211,Generic
4390,Generic
80844,Generic
90847,Generic
15667,Generic
84099,Generic
27320,Generic
67394,Generic
57685,Generic
60082,Generic
95742,Generic
10491,Generic
101474,Generic
76702,Generic
68708,Generic
52604,Generic
776,Generic
5554,Generic
69867,Generic
88902,Generic
89725,Generic
91217,Generic
33823,Generic
79065,Generic
96953,Generic
19541,Generic
78463,Generic
29658,Generic
104873,Niche
6396,Generic
5032,Generic
60490,Generic
52040,Generic
77716,Generic
8502,Generic
70584,Generic
168,Generic
40435,Generic
41771,Generic
32252,Generic
121513,Generic
101800,Generic
71745,Generic
45888,Generic
59853,Niche
73401,Generic
62797,Generic
75809,Generic
41864,Generic
19195,Generic
96345,Generic
91887,Generic
68672,Generic
74630,Generic
119794,Generic
61889,Generic
95510,Generic
32645,Generic
9832,Generic
94430,Generic
20719,Generic
103775,Generic
57993,Generic
77915,Generic
30594,Generic
21465,Generic
121965,Generic
111265,Generic
104886,Generic
77509,Generic
30400,Generic
41516,Generic
55838,Generic
93011,Generic
7480,Generic
112570,Generic
112720,Generic
112101,Generic
70250,Generic
97888,Generic
74492,Generic
48798,Generic
82614,Generic
41782,Generic
97664,Generic
120420,Generic
118613,Generic
40942,Generic
110026,Generic
82035,Generic
47501,Generic
5494,Generic
49381,Generic
44634,Niche
42440,Niche
108292,Niche
42441,Niche
96974,Niche
25278,Niche
111869,Niche
68082,Niche
99381,Niche
77928,Niche
94648,Generic
65426,Generic
116987,Niche
76708,Generic
17607,Generic
31407,Generic
23249,Generic
7546,Generic
47759,Generic
67846,Generic
81029,Generic
64638,Generic
9806,Generic
105032,Niche
85064,Niche
6814,Generic
21593,Generic
99288,Generic
119847,Generic
112631,Generic
108344,Generic
67374,Generic
111921,Generic
5229,Generic
31499,Generic
14435,Generic
92081,Generic
65787,Generic
70173,Generic
44203,Generic
17122,Generic
27168,Generic
8144,Generic
27041,Generic
70884,Generic
18373,Generic
6271,Generic
2300,Generic
29813,Generic
98337,Generic
8943,Generic
47974,Generic
53894,Generic
78340,Generic
32247,Generic
98609,Generic
82021,Generic
83129,Generic
50211,Generic
48707,Generic
11695,Generic
14159,Generic
40727,Generic
45801,Generic
108218,Generic
45513,Generic
53415,Generic
105635,Generic
53412,Generic
32294,Generic
96787,Generic
37724,Generic
85573,Generic
58564,Generic
115401,Generic
108719,Generic
29077,Generic
89849,Generic
29527,Generic
9788,Generic
6264,Generic
20547,Generic
31936,Generic
21887,Generic
80989,Generic
73574,Generic
77063,Niche
82071,Niche
26256,Generic
62489,Generic
109796,Generic
19645,Generic
55782,Generic
60702,Generic
5838,Generic
109088,Generic
107258,Generic
71511,Generic
84236,Generic
71692,Generic
110731,Generic
26992,Generic
45246,Generic
114237,Generic
22656,Generic
93420,Generic
5600,Generic
81967,Generic
2868,Generic
7683,Generic
96727,Generic
100515,Generic
120035,Generic
27109,Generic
33280,Generic
67635,Generic
5305,Generic
98618,Generic
18219,Generic
60610,Generic
30814,Generic
107442,Generic
52738,Generic
41667,Generic
64068,Generic
31092,Generic
80084,Generic
12853,Generic
35227,Generic
15652,Generic
89929,Generic
31941,Generic
24334,Generic
5579,Niche
105084,Generic
70839,Niche
70882,Generic
55927,Generic
78181,Generic
102231,Generic
59376,Generic
52189,Generic
112269,Generic
26300,Generic
25016,Generic
92902,Niche
19725,Generic
30406,Generic
92199,Generic
42214,Generic
72244,Generic
17499,Generic
48925,Generic
54594,Generic
47751,Generic
86464,Generic
100867,Generic
20579,Generic
113284,Generic
26109,Generic
17099,Generic
48999,Generic
5851,Niche
53954,Niche
58664,Generic
67553,Niche
6323,Generic
22907,Generic
27645,Generic
33337,Generic
13766,Generic
37122,Generic
97663,Generic
23108,Generic
19326,Niche
7779,Generic
56214,Generic
107004,Generic
75545,Generic
92718,Generic
11214,Niche
46394,Generic
11941,Generic
69335,Generic
18347,Generic
100905,Generic
106379,Generic
94713,Generic
51617,Generic
3491,Generic
55150,Generic
68027,Generic
54168,Generic
104607,Generic
15859,Generic
65726,Generic
52976,Generic
119055,Generic
30148,Generic
46741,Generic
46023,Generic
17417,Generic
82493,Niche
26464,Generic
104946,Generic
23993,Generic
2931,Generic
17991,Generic
119708,Generic
26759,Niche
35005,Niche
10404,Generic
6284,Niche
69502,Generic
17346,Generic
13436,Generic
22898,Generic
22950,Generic
100374,Generic
84021,Generic
78711,Generic
69407,Generic
76862,Generic
98340,Generic
102815,Generic
95831,Generic
25333,Generic
84106,Generic
12030,Generic
47716,Generic
22725,Generic
29814,Generic
102816,Generic
23931,Generic
82788,Generic
53016,Generic
68067,Generic
116976,Generic
109405,Generic
100907,Generic
97312,Generic
88912,Generic
119845,Generic
42084,Generic
44846,Generic
19464,Generic
76864,Generic
91781,Generic
93220,Generic
108882,Generic
46342,Generic
24146,Generic
52947,Generic
91163,Generic
48284,Generic
35967,Generic
11011,Generic
91401,Generic
97213,Generic
118517,Generic
118118,Generic
92685,Generic
85512,Generic
84257,Generic
9773,Generic
95792,Generic
11706,Generic
100547,Generic
94943,Generic
89989,Generic
69440,Niche
24919,Generic
77783,Generic
106067,Generic
21375,Generic
69094,Generic
13281,Generic
76425,Generic
85403,Generic
76888,Generic
69246,Generic
50869,Generic
96622,Generic
7705,Generic
90309,Generic
116418,Generic
42459,Niche
16513,Niche
55362,Niche
54706,Generic
91003,Generic
8991,Generic
18844,Generic
32839,Generic
44611,Generic
81445,Generic
48275,Generic
54675,Generic
42631,Generic
21800,Generic
18387,Generic
48576,Generic
9043,Generic
19947,Generic
102817,Generic
583,Generic
24171,Generic
29816,Generic
56361,Generic
42474,Generic
117150,Generic
120453,Generic
15137,Generic
56788,Generic
72950,Generic
28698,Generic
13562,Niche
105673,Generic
122589,Generic
42060,Generic
55055,Generic
74409,Generic
56790,Generic
6365,Generic
74782,Generic
113174,Generic
8219,Generic
96693,Generic
9381,Generic
48928,Generic
57778,Generic
51837,Generic
108571,Generic
95664,Generic
75248,Generic
19533,Generic
20666,Generic
119969,Generic
76591,Niche
16212,Generic
27835,Generic
54305,Generic
3281,Generic
49645,Generic
48137,Generic
9358,Generic
109395,Generic
48565,Niche
42795,Niche
34807,Generic
74286,Generic
6338,Generic
67993,Generic
51488,Generic
81271,Generic
92522,Generic
2306,Generic
99406,Generic
114597,Generic
56529,Generic
67353,Generic
97951,Generic
11880,Generic
29306,Generic
56327,Generic
106037,Generic
36420,Generic
6455,Niche
109570,Generic
39075,Niche
68546,Generic
118933,Generic
13517,Generic
43803,Generic
64594,Generic
97922,Generic
2954,Generic
16586,Generic
101209,Generic
109721,Generic
15408,Generic
52421,Generic
46581,Generic
109080,Generic
62422,Generic
49824,Generic
6844,Generic
101443,Generic
55537,Generic
54495,Generic
30682,Generic
24940,Generic
76662,Generic
97068,Generic
58329,Generic
101624,Niche
102977,Niche
53075,Generic
6316,Niche
90377,Generic
74408,Generic
85536,Generic
48691,Generic
102561,Generic
8186,Generic
99942,Generic
51708,Generic
38794,Generic
58897,Generic
106194,Generic
80473,Niche
62095,Generic
548,Generic
56016,Generic
38864,Niche
9429,Niche
23521,Generic
120018,Generic
91411,Generic
25421,Niche
76498,Niche
59392,Generic
