consumer_id,consumer_type,preferences
12,Generic,"[0.0952381, 0.04761905, 0.0, 0.0, 0.1904762, 0.14285715, 0.0, 0.23809524, 0.0, 0.04761905, 0.04761905, 0.0, 0.04761905, 0.0, 0.04761905, 0.0952381, 0.0, 0.0]"
13,Generic,"[0.21226415, 0.25, 0.009433962, 0.03773585, 0.06603774, 0.03301887, 0.0, 0.070754714, 0.047169812, 0.004716981, 0.009433962, 0.0, 0.014150944, 0.03773585, 0.1273585, 0.051886793, 0.018867925, 0.009433962]"
14,Generic,"[0.035714287, 0.0, 0.0, 0.0, 0.25, 0.071428575, 0.0, 0.2857143, 0.0, 0.0, 0.10714286, 0.0, 0.0, 0.14285715, 0.071428575, 0.035714287, 0.0, 0.0]"
15,Generic,"[0.13409962, 0.04597701, 0.0, 0.0038314175, 0.18007663, 0.07662835, 0.0, 0.19923371, 0.007662835, 0.007662835, 0.019157087, 0.0038314175, 0.049808428, 0.06896552, 0.03448276, 0.12643678, 0.03065134, 0.011494253]"
16,Generic,"[0.09836066, 0.08196721, 0.016393442, 0.032786883, 0.3114754, 0.0, 0.0, 0.032786883, 0.0, 0.016393442, 0.032786883, 0.0, 0.016393442, 0.14754099, 0.08196721, 0.08196721, 0.016393442, 0.032786883]"
17,Generic,"[0.11912226, 0.07836991, 0.018808777, 0.021943573, 0.0846395, 0.043887146, 0.0, 0.13793103, 0.015673982, 0.028213166, 0.028213166, 0.0, 0.018808777, 0.03448276, 0.23824452, 0.106583074, 0.018808777, 0.0062695923]"
18,Generic,"[0.17525773, 0.10927835, 0.039175257, 0.08659794, 0.11752577, 0.04742268, 0.0, 0.12577319, 0.049484536, 0.0041237115, 0.008247423, 0.022680413, 0.012371134, 0.05773196, 0.05773196, 0.04742268, 0.026804123, 0.012371134]"
19,Generic,"[0.18378378, 0.075675674, 0.04054054, 0.043243244, 0.15405406, 0.018918918, 0.0027027028, 0.07837838, 0.016216217, 0.0027027028, 0.09189189, 0.024324324, 0.016216217, 0.043243244, 0.09189189, 0.0945946, 0.016216217, 0.0054054055]"
20,Generic,"[0.25581396, 0.093023255, 0.0, 0.0, 0.093023255, 0.069767445, 0.0, 0.093023255, 0.0, 0.023255814, 0.023255814, 0.0, 0.046511628, 0.046511628, 0.11627907, 0.093023255, 0.046511628, 0.0]"
21,Generic,"[0.09090909, 0.09090909, 0.27272728, 0.15151516, 0.15151516, 0.0, 0.0, 0.0, 0.0, 0.030303031, 0.0, 0.030303031, 0.0, 0.0, 0.121212125, 0.030303031, 0.0, 0.030303031]"
22,Generic,"[0.14967462, 0.08026031, 0.015184382, 0.023861172, 0.23861171, 0.03470716, 0.0021691974, 0.0824295, 0.021691974, 0.004338395, 0.05206074, 0.00867679, 0.010845987, 0.045553144, 0.0867679, 0.11713666, 0.01735358, 0.00867679]"
23,Generic,"[0.13733076, 0.08123791, 0.0116054155, 0.025145067, 0.13152805, 0.06382979, 0.003868472, 0.092843324, 0.036750484, 0.0116054155, 0.030947777, 0.003868472, 0.021276595, 0.04255319, 0.15280464, 0.13346228, 0.015473888, 0.003868472]"
24,Generic,"[0.08035714, 0.09375, 0.004464286, 0.004464286, 0.27232143, 0.035714287, 0.004464286, 0.21428572, 0.02232143, 0.004464286, 0.008928572, 0.008928572, 0.004464286, 0.13392857, 0.05357143, 0.013392857, 0.03125, 0.008928572]"
25,Generic,"[0.19375, 0.13125, 0.04375, 0.0375, 0.13125, 0.0, 0.0, 0.09375, 0.01875, 0.00625, 0.01875, 0.00625, 0.0, 0.0125, 0.19375, 0.0625, 0.04375, 0.00625]"
26,Generic,"[0.085178874, 0.051107325, 0.0102214655, 0.032367975, 0.30153322, 0.015332198, 0.0, 0.16865417, 0.018739352, 0.0, 0.015332198, 0.015332198, 0.015332198, 0.14480409, 0.042589437, 0.05451448, 0.018739352, 0.0102214655]"
27,Generic,"[0.048076924, 0.048076924, 0.028846154, 0.048076924, 0.21153846, 0.03846154, 0.0, 0.16346154, 0.067307696, 0.09615385, 0.009615385, 0.009615385, 0.01923077, 0.067307696, 0.028846154, 0.067307696, 0.028846154, 0.01923077]"
28,Generic,"[0.08108108, 0.027027028, 0.013513514, 0.02027027, 0.18243243, 0.02027027, 0.0, 0.22972973, 0.02027027, 0.027027028, 0.02027027, 0.02027027, 0.027027028, 0.11486486, 0.06081081, 0.08108108, 0.033783782, 0.02027027]"
29,Generic,"[0.36129034, 0.10967742, 0.006451613, 0.0, 0.058064517, 0.019354839, 0.0, 0.07096774, 0.012903226, 0.012903226, 0.019354839, 0.0, 0.006451613, 0.032258064, 0.10967742, 0.12903225, 0.038709678, 0.012903226]"
30,Generic,"[0.04347826, 0.0, 0.02173913, 0.02173913, 0.1521739, 0.08695652, 0.0, 0.36956522, 0.02173913, 0.02173913, 0.0, 0.02173913, 0.02173913, 0.06521739, 0.04347826, 0.06521739, 0.04347826, 0.0]"
31,Generic,"[0.08387097, 0.045161292, 0.006451613, 0.012903226, 0.46451613, 0.038709678, 0.006451613, 0.09677419, 0.012903226, 0.0, 0.006451613, 0.019354839, 0.012903226, 0.077419356, 0.038709678, 0.025806451, 0.025806451, 0.025806451]"
32,Generic,"[0.084745765, 0.033898305, 0.033898305, 0.033898305, 0.10169491, 0.033898305, 0.0, 0.20338982, 0.016949153, 0.016949153, 0.0, 0.033898305, 0.016949153, 0.084745765, 0.06779661, 0.16949153, 0.050847456, 0.016949153]"
33,Generic,"[0.09368192, 0.050108932, 0.0043572984, 0.026143791, 0.1285403, 0.050108932, 0.0021786492, 0.23747277, 0.010893246, 0.013071896, 0.052287582, 0.02396514, 0.03050109, 0.06535948, 0.05882353, 0.11546841, 0.021786492, 0.015250545]"
34,Generic,"[0.03952569, 0.03557312, 0.007905139, 0.027667984, 0.38735178, 0.015810277, 0.0, 0.12648222, 0.015810277, 0.0, 0.03952569, 0.007905139, 0.007905139, 0.20948617, 0.023715414, 0.04743083, 0.0039525693, 0.0039525693]"
35,Generic,"[0.022727273, 0.013636364, 0.022727273, 0.022727273, 0.2, 0.022727273, 0.0, 0.2590909, 0.009090909, 0.009090909, 0.0045454544, 0.086363636, 0.036363635, 0.17272727, 0.0, 0.05, 0.027272727, 0.04090909]"
36,Generic,"[0.14285715, 0.05467372, 0.024691358, 0.017636685, 0.19753087, 0.03527337, 0.008818342, 0.1393298, 0.012345679, 0.008818342, 0.02292769, 0.0070546735, 0.015873017, 0.06525573, 0.086419754, 0.107583776, 0.038800705, 0.014109347]"
37,Generic,"[0.06666667, 0.033333335, 0.022222223, 0.033333335, 0.2777778, 0.0, 0.0, 0.055555556, 0.011111111, 0.0, 0.022222223, 0.06666667, 0.011111111, 0.33333334, 0.011111111, 0.033333335, 0.022222223, 0.0]"
38,Generic,"[0.023952097, 0.023952097, 0.035928145, 0.053892214, 0.23952095, 0.011976048, 0.005988024, 0.19760479, 0.0, 0.0, 0.0, 0.035928145, 0.005988024, 0.2994012, 0.011976048, 0.047904193, 0.005988024, 0.0]"
39,Generic,"[0.06329114, 0.050632913, 0.050632913, 0.03797468, 0.30379745, 0.03797468, 0.0, 0.17721519, 0.0, 0.012658228, 0.025316456, 0.0, 0.012658228, 0.088607594, 0.088607594, 0.050632913, 0.0, 0.0]"
40,Generic,"[0.16867469, 0.22289157, 0.006024096, 0.036144577, 0.084337346, 0.012048192, 0.0, 0.072289154, 0.036144577, 0.006024096, 0.0, 0.012048192, 0.006024096, 0.042168673, 0.09638554, 0.036144577, 0.15662651, 0.006024096]"
41,Generic,"[0.121212125, 0.030303031, 0.030303031, 0.030303031, 0.121212125, 0.0, 0.0, 0.121212125, 0.030303031, 0.0, 0.09090909, 0.030303031, 0.060606062, 0.09090909, 0.09090909, 0.09090909, 0.060606062, 0.0]"
42,Generic,"[0.21323529, 0.11764706, 0.007352941, 0.012254902, 0.12009804, 0.026960785, 0.0024509805, 0.075980395, 0.029411765, 0.0024509805, 0.019607844, 0.0024509805, 0.009803922, 0.031862747, 0.21323529, 0.09313726, 0.014705882, 0.007352941]"
43,Generic,"[0.035714287, 0.0, 0.035714287, 0.035714287, 0.39285713, 0.035714287, 0.0, 0.14285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17857143, 0.035714287, 0.071428575, 0.035714287, 0.0]"
44,Generic,"[0.09615385, 0.13461539, 0.035256412, 0.067307696, 0.15705128, 0.012820513, 0.0, 0.08974359, 0.057692308, 0.0064102565, 0.048076924, 0.01923077, 0.025641026, 0.070512824, 0.102564104, 0.057692308, 0.012820513, 0.0064102565]"
45,Generic,"[0.022123894, 0.03318584, 0.013274336, 0.028761063, 0.39159292, 0.0088495575, 0.0, 0.13274336, 0.011061947, 0.0, 0.0088495575, 0.022123894, 0.011061947, 0.24115044, 0.026548672, 0.022123894, 0.013274336, 0.013274336]"
46,Niche,"[0.04255319, 0.021276595, 0.0, 0.0, 0.04255319, 0.0, 0.021276595, 0.06382979, 0.021276595, 0.0, 0.5319149, 0.0, 0.06382979, 0.0, 0.021276595, 0.17021276, 0.0, 0.0]"
47,Generic,"[0.035714287, 0.035714287, 0.0, 0.035714287, 0.071428575, 0.10714286, 0.0, 0.42857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14285715, 0.0, 0.071428575, 0.071428575, 0.0]"
48,Generic,"[0.13867822, 0.09317443, 0.024918742, 0.053087756, 0.19501625, 0.018418202, 0.0021668472, 0.108342364, 0.024918742, 0.0032502708, 0.019501625, 0.024918742, 0.018418202, 0.07150596, 0.08667389, 0.063921995, 0.034669556, 0.018418202]"
49,Generic,"[0.2215909, 0.10795455, 0.07954545, 0.06818182, 0.06818182, 0.039772727, 0.0, 0.09659091, 0.011363637, 0.0056818184, 0.0056818184, 0.017045455, 0.017045455, 0.022727273, 0.10227273, 0.10227273, 0.03409091, 0.0]"
50,Generic,"[0.083333336, 0.05, 0.033333335, 0.033333335, 0.18333334, 0.016666668, 0.0, 0.23333333, 0.0, 0.0, 0.05, 0.016666668, 0.033333335, 0.11666667, 0.033333335, 0.083333336, 0.016666668, 0.016666668]"
51,Generic,"[0.033333335, 0.0, 0.083333336, 0.1, 0.36666667, 0.016666668, 0.0, 0.13333334, 0.0, 0.016666668, 0.016666668, 0.033333335, 0.016666668, 0.083333336, 0.033333335, 0.06666667, 0.0, 0.0]"
52,Generic,"[0.3116883, 0.077922076, 0.0, 0.0, 0.103896104, 0.051948052, 0.0, 0.11038961, 0.0064935065, 0.0, 0.019480519, 0.0, 0.025974026, 0.038961038, 0.064935066, 0.14285715, 0.025974026, 0.019480519]"
53,Generic,"[0.099029124, 0.058252428, 0.018446602, 0.032038834, 0.1262136, 0.0407767, 0.0, 0.19805825, 0.026213592, 0.0067961165, 0.052427184, 0.026213592, 0.025242718, 0.06893204, 0.09029126, 0.1, 0.022330098, 0.008737864]"
54,Generic,"[0.019607844, 0.0, 0.019607844, 0.039215688, 0.50980395, 0.019607844, 0.0, 0.1764706, 0.0, 0.0, 0.019607844, 0.0, 0.019607844, 0.05882353, 0.0, 0.019607844, 0.019607844, 0.078431375]"
55,Generic,"[0.07692308, 0.0, 0.07692308, 0.07692308, 0.07692308, 0.07692308, 0.03846154, 0.26923078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03846154, 0.03846154, 0.07692308, 0.115384616, 0.03846154]"
56,Generic,"[0.04255319, 0.0, 0.031914894, 0.04255319, 0.22340426, 0.11702128, 0.010638298, 0.26595744, 0.0, 0.010638298, 0.0, 0.010638298, 0.010638298, 0.06382979, 0.0, 0.10638298, 0.06382979, 0.0]"
57,Generic,"[0.1388889, 0.06944445, 0.041666668, 0.055555556, 0.19444445, 0.027777778, 0.0, 0.18055555, 0.0, 0.0, 0.06944445, 0.013888889, 0.013888889, 0.013888889, 0.06944445, 0.06944445, 0.041666668, 0.0]"
58,Generic,"[0.16491754, 0.08395802, 0.016491754, 0.020989506, 0.13043478, 0.028485756, 0.0014992504, 0.13493253, 0.014992503, 0.004497751, 0.04047976, 0.013493253, 0.017991005, 0.04047976, 0.15892054, 0.08395802, 0.032983508, 0.010494753]"
59,Generic,"[0.03041825, 0.022813689, 0.0114068445, 0.022813689, 0.15209125, 0.02661597, 0.0, 0.2623574, 0.0038022813, 0.022813689, 0.022813689, 0.07984791, 0.022813689, 0.14828898, 0.041825093, 0.05323194, 0.05703422, 0.019011406]"
60,Generic,"[0.12142857, 0.16428572, 0.007142857, 0.035714287, 0.16428572, 0.042857144, 0.0, 0.05, 0.021428572, 0.014285714, 0.007142857, 0.0, 0.10714286, 0.071428575, 0.071428575, 0.07857143, 0.028571429, 0.014285714]"
61,Generic,"[0.20408164, 0.06122449, 0.020408163, 0.020408163, 0.18367347, 0.020408163, 0.0, 0.08163265, 0.020408163, 0.0, 0.08163265, 0.0, 0.020408163, 0.06122449, 0.10204082, 0.12244898, 0.0, 0.0]"
62,Generic,"[0.08235294, 0.048529413, 0.010294118, 0.014705882, 0.17794117, 0.048529413, 0.004411765, 0.2367647, 0.011764706, 0.019117648, 0.016176471, 0.022058824, 0.030882353, 0.10147059, 0.05735294, 0.07941177, 0.023529412, 0.014705882]"
63,Generic,"[0.07633588, 0.022900764, 0.030534351, 0.022900764, 0.29007635, 0.022900764, 0.007633588, 0.17557251, 0.0, 0.015267176, 0.08396947, 0.0, 0.015267176, 0.045801528, 0.061068702, 0.129771, 0.0, 0.0]"
64,Generic,"[0.26190478, 0.11904762, 0.023809524, 0.0, 0.071428575, 0.0, 0.0, 0.14285715, 0.0, 0.0, 0.0952381, 0.023809524, 0.023809524, 0.0, 0.071428575, 0.11904762, 0.04761905, 0.0]"
65,Generic,"[0.19704433, 0.12315271, 0.019704433, 0.03448276, 0.15763547, 0.024630541, 0.0, 0.14778325, 0.009852217, 0.0049261083, 0.0049261083, 0.014778325, 0.009852217, 0.0591133, 0.06896552, 0.07881773, 0.044334974, 0.0]"
66,Generic,"[0.10810811, 0.08108108, 0.027027028, 0.08108108, 0.21621622, 0.0, 0.0, 0.24324325, 0.027027028, 0.0, 0.0, 0.027027028, 0.0, 0.027027028, 0.027027028, 0.0, 0.13513513, 0.0]"
67,Generic,"[0.035714287, 0.023809524, 0.0, 0.0, 0.13095239, 0.071428575, 0.0, 0.48809522, 0.0, 0.011904762, 0.011904762, 0.0, 0.0, 0.083333336, 0.023809524, 0.05952381, 0.04761905, 0.011904762]"
68,Generic,"[0.056179777, 0.02247191, 0.02247191, 0.033707865, 0.39325842, 0.033707865, 0.011235955, 0.15730338, 0.02247191, 0.0, 0.02247191, 0.011235955, 0.011235955, 0.11235955, 0.02247191, 0.0, 0.02247191, 0.04494382]"
69,Generic,"[0.042857144, 0.028571429, 0.0, 0.0, 0.071428575, 0.057142857, 0.0, 0.51428574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12857144, 0.028571429, 0.057142857, 0.057142857, 0.014285714]"
70,Generic,"[0.073529415, 0.029411765, 0.05882353, 0.05882353, 0.29411766, 0.029411765, 0.0, 0.1764706, 0.0, 0.014705882, 0.04411765, 0.0, 0.014705882, 0.05882353, 0.05882353, 0.0882353, 0.0, 0.0]"
71,Generic,"[0.18421052, 0.10526316, 0.0, 0.0, 0.18421052, 0.05263158, 0.0, 0.15789473, 0.0, 0.02631579, 0.02631579, 0.0, 0.05263158, 0.02631579, 0.078947365, 0.10526316, 0.0, 0.0]"
72,Generic,"[0.10344828, 0.05172414, 0.0, 0.0, 0.29310346, 0.03448276, 0.0, 0.20689656, 0.01724138, 0.0, 0.0, 0.0, 0.0, 0.12068965, 0.05172414, 0.06896552, 0.03448276, 0.01724138]"
73,Generic,"[0.23516484, 0.11868132, 0.010989011, 0.03076923, 0.17142858, 0.03076923, 0.0, 0.05934066, 0.01978022, 0.0, 0.026373627, 0.008791209, 0.008791209, 0.024175825, 0.12747253, 0.09010989, 0.028571429, 0.008791209]"
74,Generic,"[0.016393442, 0.0, 0.0, 0.032786883, 0.14754099, 0.13114753, 0.016393442, 0.24590164, 0.0, 0.04918033, 0.0, 0.016393442, 0.13114753, 0.06557377, 0.0, 0.114754096, 0.016393442, 0.016393442]"
75,Generic,"[0.032490976, 0.10469314, 0.11191336, 0.28880867, 0.22382672, 0.0, 0.0, 0.039711192, 0.04693141, 0.0, 0.0, 0.057761732, 0.0072202166, 0.02166065, 0.04693141, 0.0072202166, 0.0072202166, 0.0036101083]"
76,Generic,"[0.1262136, 0.0, 0.029126214, 0.009708738, 0.14563107, 0.08737864, 0.0, 0.34951457, 0.0, 0.009708738, 0.0, 0.0, 0.019417476, 0.067961164, 0.048543688, 0.097087376, 0.009708738, 0.0]"
77,Generic,"[0.06666667, 0.022222223, 0.044444446, 0.022222223, 0.35555556, 0.0, 0.0, 0.2888889, 0.0, 0.0, 0.044444446, 0.0, 0.0, 0.06666667, 0.022222223, 0.06666667, 0.0, 0.0]"
78,Generic,"[0.005263158, 0.021052632, 0.057894737, 0.078947365, 0.40526316, 0.005263158, 0.0, 0.094736844, 0.010526316, 0.0, 0.0, 0.14736842, 0.005263158, 0.1368421, 0.010526316, 0.005263158, 0.010526316, 0.005263158]"
79,Generic,"[0.09259259, 0.018518519, 0.037037037, 0.037037037, 0.074074075, 0.055555556, 0.0, 0.12962963, 0.018518519, 0.037037037, 0.037037037, 0.018518519, 0.16666667, 0.074074075, 0.055555556, 0.14814815, 0.0, 0.0]"
80,Generic,"[0.09638554, 0.072289154, 0.084337346, 0.10843374, 0.12048193, 0.024096385, 0.0, 0.18072289, 0.012048192, 0.0, 0.0, 0.04819277, 0.0, 0.072289154, 0.072289154, 0.036144577, 0.060240965, 0.012048192]"
81,Generic,"[0.048076924, 0.028846154, 0.009615385, 0.0, 0.16346154, 0.086538464, 0.009615385, 0.22115384, 0.0, 0.07692308, 0.028846154, 0.01923077, 0.057692308, 0.009615385, 0.048076924, 0.115384616, 0.057692308, 0.01923077]"
82,Generic,"[0.15591398, 0.05376344, 0.0, 0.0, 0.08064516, 0.02688172, 0.0, 0.19354838, 0.0, 0.005376344, 0.032258064, 0.0, 0.059139784, 0.059139784, 0.11290322, 0.18817204, 0.021505376, 0.010752688]"
83,Generic,"[0.08387097, 0.103225805, 0.038709678, 0.077419356, 0.2, 0.0, 0.0, 0.103225805, 0.14838709, 0.006451613, 0.019354839, 0.006451613, 0.0, 0.090322584, 0.077419356, 0.038709678, 0.0, 0.006451613]"
84,Generic,"[0.23404256, 0.10638298, 0.0, 0.0, 0.10638298, 0.021276595, 0.0, 0.14893617, 0.021276595, 0.0, 0.021276595, 0.0, 0.0, 0.04255319, 0.12765957, 0.04255319, 0.12765957, 0.0]"
85,Generic,"[0.11764706, 0.019607844, 0.019607844, 0.019607844, 0.21568628, 0.0, 0.0, 0.27450982, 0.0, 0.0, 0.05882353, 0.019607844, 0.039215688, 0.019607844, 0.05882353, 0.11764706, 0.019607844, 0.0]"
86,Generic,"[0.0882353, 0.19117647, 0.029411765, 0.10294118, 0.13235295, 0.014705882, 0.0, 0.05882353, 0.029411765, 0.0, 0.014705882, 0.04411765, 0.04411765, 0.10294118, 0.0882353, 0.029411765, 0.014705882, 0.014705882]"
87,Generic,"[0.42857143, 0.042857144, 0.0, 0.0, 0.057142857, 0.057142857, 0.014285714, 0.14285715, 0.0, 0.0, 0.014285714, 0.0, 0.0, 0.057142857, 0.071428575, 0.071428575, 0.028571429, 0.014285714]"
88,Generic,"[0.046511628, 0.034883723, 0.0, 0.0, 0.22093023, 0.046511628, 0.0, 0.38372093, 0.0, 0.023255814, 0.0, 0.0, 0.011627907, 0.069767445, 0.034883723, 0.069767445, 0.058139537, 0.0]"
89,Generic,"[0.13636364, 0.0, 0.0, 0.0, 0.27272728, 0.0, 0.0, 0.4090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.045454547, 0.0, 0.0, 0.13636364, 0.0]"
90,Generic,"[0.11072665, 0.05882353, 0.017301038, 0.024221454, 0.2214533, 0.05882353, 0.0, 0.16955018, 0.0034602077, 0.010380623, 0.024221454, 0.0069204154, 0.038062282, 0.055363324, 0.04152249, 0.11764706, 0.027681662, 0.013840831]"
91,Generic,"[0.04761905, 0.015873017, 0.0, 0.0, 0.47619048, 0.04761905, 0.0, 0.17460318, 0.015873017, 0.0, 0.015873017, 0.0, 0.031746034, 0.07936508, 0.0, 0.015873017, 0.06349207, 0.015873017]"
92,Generic,"[0.097709924, 0.0961832, 0.051908396, 0.091603056, 0.1908397, 0.01832061, 0.0, 0.097709924, 0.035114504, 0.0015267176, 0.021374045, 0.048854962, 0.0122137405, 0.082442746, 0.065648854, 0.06412214, 0.019847328, 0.0045801527]"
93,Generic,"[0.30465117, 0.13023256, 0.030232558, 0.034883723, 0.06744186, 0.03255814, 0.0, 0.037209302, 0.04418605, 0.0023255814, 0.01627907, 0.006976744, 0.004651163, 0.034883723, 0.11860465, 0.1, 0.027906977, 0.006976744]"
94,Niche,"[0.0, 0.0, 0.0, 0.0, 0.14285715, 0.0, 0.0, 0.14285715, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.071428575, 0.14285715, 0.0, 0.0]"
95,Generic,"[0.19753087, 0.074074075, 0.0, 0.0, 0.16666667, 0.061728396, 0.0, 0.16049382, 0.0, 0.0, 0.0061728396, 0.0, 0.012345679, 0.08024691, 0.061728396, 0.12962963, 0.043209877, 0.0061728396]"
96,Generic,"[0.08571429, 0.03809524, 0.03809524, 0.057142857, 0.14285715, 0.03809524, 0.0, 0.2952381, 0.00952381, 0.00952381, 0.0, 0.00952381, 0.00952381, 0.07619048, 0.01904762, 0.08571429, 0.057142857, 0.028571429]"
97,Generic,"[0.02173913, 0.016304348, 0.016304348, 0.02173913, 0.16847827, 0.054347824, 0.0, 0.24456522, 0.0054347827, 0.054347824, 0.038043477, 0.04347826, 0.038043477, 0.05978261, 0.027173912, 0.097826086, 0.07065217, 0.02173913]"
98,Generic,"[0.1923077, 0.115384616, 0.0, 0.0, 0.15384616, 0.07692308, 0.0, 0.1923077, 0.0, 0.0, 0.0, 0.0, 0.03846154, 0.03846154, 0.03846154, 0.03846154, 0.115384616, 0.0]"
99,Generic,"[0.05035971, 0.021582734, 0.05035971, 0.07913669, 0.2877698, 0.021582734, 0.0, 0.24460432, 0.021582734, 0.0, 0.01438849, 0.021582734, 0.0, 0.07913669, 0.035971224, 0.035971224, 0.02877698, 0.007194245]"
100,Generic,"[0.30612245, 0.15646258, 0.0, 0.0, 0.054421768, 0.027210884, 0.0, 0.10204082, 0.006802721, 0.006802721, 0.006802721, 0.0, 0.027210884, 0.04761905, 0.12244898, 0.06802721, 0.04761905, 0.020408163]"
101,Generic,"[0.3537736, 0.14150943, 0.0, 0.014150944, 0.08018868, 0.018867925, 0.0, 0.06603774, 0.014150944, 0.0, 0.009433962, 0.0, 0.004716981, 0.03773585, 0.12264151, 0.108490564, 0.023584906, 0.004716981]"
102,Generic,"[0.082840234, 0.03550296, 0.02366864, 0.02366864, 0.20710059, 0.03550296, 0.0, 0.20118344, 0.01183432, 0.01775148, 0.01183432, 0.00591716, 0.0295858, 0.10650887, 0.07692308, 0.1183432, 0.0, 0.01183432]"
103,Generic,"[0.31779662, 0.118644066, 0.016949153, 0.025423728, 0.06779661, 0.029661017, 0.0, 0.055084746, 0.008474576, 0.0, 0.012711864, 0.008474576, 0.016949153, 0.016949153, 0.13135593, 0.15677966, 0.016949153, 0.0]"
104,Generic,"[0.12962963, 0.037037037, 0.018518519, 0.0, 0.24074075, 0.037037037, 0.0, 0.16666667, 0.0, 0.018518519, 0.037037037, 0.0, 0.0, 0.055555556, 0.09259259, 0.14814815, 0.0, 0.018518519]"
105,Generic,"[0.35164836, 0.06593407, 0.0, 0.0, 0.043956045, 0.032967035, 0.0, 0.12087912, 0.010989011, 0.0, 0.032967035, 0.0, 0.0, 0.043956045, 0.0989011, 0.13186814, 0.054945055, 0.010989011]"
106,Generic,"[0.033333335, 0.011111111, 0.011111111, 0.022222223, 0.21111111, 0.0, 0.0, 0.15555556, 0.011111111, 0.0, 0.011111111, 0.055555556, 0.022222223, 0.34444445, 0.011111111, 0.07777778, 0.022222223, 0.0]"
107,Generic,"[0.04379562, 0.01459854, 0.01459854, 0.01459854, 0.08029197, 0.08029197, 0.00729927, 0.28467155, 0.0, 0.04379562, 0.02189781, 0.03649635, 0.02919708, 0.08029197, 0.02919708, 0.13138686, 0.06569343, 0.02189781]"
108,Generic,"[0.1521739, 0.08695652, 0.04347826, 0.02173913, 0.23913044, 0.02173913, 0.0, 0.13043478, 0.0, 0.0, 0.02173913, 0.04347826, 0.02173913, 0.04347826, 0.08695652, 0.04347826, 0.02173913, 0.02173913]"
109,Generic,"[0.10067114, 0.12080537, 0.040268455, 0.10067114, 0.24161074, 0.0, 0.0, 0.040268455, 0.040268455, 0.0067114094, 0.0067114094, 0.046979867, 0.026845638, 0.046979867, 0.10067114, 0.046979867, 0.020134227, 0.013422819]"
